Wine Name,Vintage,Wine Type,Grapes,Producer,Country,Region,Cellar or Fridge Name,Size,Purchase Price,Market Price (USD),Currency,Purchase Date,Source,Source Address,Personal Notes,Tags,Custom Bottle Location,Section Name,Row,Column,Depth,Added On,Drink Window Start,Drink Window End,Bottle Code,Barcode,ABV
Antiche Terre Venete Baorna Amarone Della Valpolicella,2022,red,"Rondinella, Corvinone, Corvina Veronese, Red Blend",Antiche Terre Venete,Italy,Veneto,Large Fridge,750ml,,,USD,,,,,,,Shelf - 8 (drink first),1,5,1,2026-05-04 02:59,2028,2042,559773,2835774438,15.0%
Avignonesi Vino Nobile di Montepulciano,2017,red,Sangiovese,Avignonesi,Italy,Abruzzo,Large Fridge,750ml,20.00,26.21,USD,"April 11, 2026",,,,,,Shelf - 10,1,1,1,2026-03-01 23:41,2023,2033,560435,0778068723,13.5%
Avignonesi Vino Nobile di Montepulciano,2017,red,Sangiovese,Avignonesi,Italy,Abruzzo,Large Fridge,750ml,20.00,26.21,USD,"April 11, 2026",,,,,,Shelf - 10,1,3,1,2026-03-01 23:41,2023,2033,097284,1216644977,13.5%
Avignonesi Vino Nobile di Montepulciano,2017,red,Sangiovese,Avignonesi,Italy,Abruzzo,Large Fridge,750ml,20.00,26.21,USD,"April 11, 2026",,,,,,Shelf - 10,1,2,1,2026-03-01 23:41,2023,2033,303071,0724615491,13.5%
Avignonesi Vino Nobile di Montepulciano,2017,red,Sangiovese,Avignonesi,Italy,Abruzzo,Large Fridge,750ml,20.00,26.21,USD,"April 11, 2026",,,,,,Shelf - 10,1,4,1,2026-03-01 23:41,2023,2033,990655,1600650377,13.5%
Avignonesi Vino Nobile di Montepulciano,2017,red,Sangiovese,Avignonesi,Italy,Abruzzo,Large Fridge,750ml,20.00,26.21,USD,"April 11, 2026",,,,,,Shelf - 10,1,5,1,2026-03-01 23:41,2023,2033,787975,7840051792,13.5%
Beaulieu Vineyard (BV) Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Beaulieu Vineyard,United States,California,Large Fridge,750ml,35.00,36.49,USD,"April 11, 2026",,,,,,Shelf - 4,1,5,1,2026-04-11 21:55,2026,2043,389816,9029838001,13.5%
Beaulieu Vineyard (BV) Tapestry Reserve Red,2022,red,"Malbec, Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Beaulieu Vineyard,United States,California,Large Fridge,750ml,32.00,18.36,USD,"March 1, 2026",,,,,,Shelf - 2,1,11,1,2026-03-01 21:55,2025,2032,096738,7259954073,14.0%
Beaulieu Vineyard (BV) Tapestry Reserve Red,2022,red,"Malbec, Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Beaulieu Vineyard,United States,California,Large Fridge,750ml,32.00,18.36,USD,"March 1, 2026",,,,,,Shelf - 2,1,10,1,2026-03-01 21:55,2025,2032,008564,9933071362,14.0%
Beau Vigne Legacy Cabernet Sauvignon,2022,red,Cabernet Sauvignon,The Beau Vigne Collection,United States,California,Large Fridge,750ml,50.99,59.99,USD,"March 1, 2026",,,,,,Shelf - 5,1,9,1,2026-03-01 22:12,2027,2042,016379,4696086248,14.5%
Beau Vigne Legacy Cabernet Sauvignon,2022,red,Cabernet Sauvignon,The Beau Vigne Collection,United States,California,Large Fridge,750ml,50.99,59.99,USD,"March 1, 2026",,,,,,Shelf - 5,1,8,1,2026-03-01 22:12,2027,2042,340011,4425160584,14.5%
Bevan Cellars Ontogeny Red,2018,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Bevan Cellars,United States,California,Large Fridge,750ml,,131.09,USD,,,,,,,Shelf - 1,1,7,1,2026-04-01 23:18,2022,2034,194995,2120748916,15.0%
Bevan Cellars Ontogeny Red,2019,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Bevan Cellars,United States,California,Large Fridge,750ml,99.00,126.45,USD,"March 1, 2026",,,,,,Shelf - 12,1,1,1,2026-03-01 21:42,2023,2037,846185,1005992359,14.9%
Bevan Cellars Ontogeny Red,2019,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Bevan Cellars,United States,California,Large Fridge,750ml,99.00,126.45,USD,"March 1, 2026",,,,,,Shelf - 12,1,2,1,2026-03-01 21:42,2023,2037,519440,3978208432,14.9%
Bevan Cellars Ontogeny Red,2019,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Bevan Cellars,United States,California,Large Fridge,750ml,99.00,126.45,USD,"March 1, 2026",,,,,,Shelf - 12,1,3,1,2026-03-01 21:42,2023,2037,471781,6989085104,14.9%
Bevan Cellars Ontogeny Red,2019,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Bevan Cellars,United States,California,Large Fridge,750ml,99.00,126.45,USD,"March 1, 2026",,,,,,Shelf - 12,1,4,1,2026-03-01 21:42,2023,2037,306488,0401166983,14.9%
Bevan Cellars Ontogeny Red,2019,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Bevan Cellars,United States,California,Large Fridge,750ml,99.00,126.45,USD,"March 1, 2026",,,,,,Shelf - 12,1,5,1,2026-03-01 21:42,2023,2037,344208,6160878655,14.9%
Bevan Cellars Ontogeny Red,2019,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Bevan Cellars,United States,California,Large Fridge,750ml,99.00,126.45,USD,"March 1, 2026",,,,,,Shelf - 12,1,6,1,2026-03-01 21:42,2023,2037,509780,3659710085,14.9%
Bonacchi Brunello di Montalcino,2019,red,Sangiovese,Bonacchi,Italy,Tuscany,Large Fridge,750ml,,36.96,USD,,,,,,,Shelf - 8 (drink first),1,3,1,2026-05-04 02:58,2027,2045,172265,5537354456,13.5%
Cakebread Cellars Napa Valley Cabernet Sauvignon,2022,red,"Malbec, Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc, Syrah/Shiraz",Cakebread,United States,California,Large Fridge,750ml,,91.21,USD,,,,,,,Shelf - 4,1,7,1,2026-04-11 21:57,2028,2042,604792,0367916278,13.9%
Cakebread Cellars Napa Valley Cabernet Sauvignon,2022,red,"Malbec, Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc, Syrah/Shiraz",Cakebread,United States,California,Large Fridge,750ml,,91.21,USD,,,,,,,Shelf - 4,1,9,1,2026-04-11 21:57,2028,2042,241892,3830767195,13.9%
Château de Pez Saint-Estèphe,2018,red,Cabernet Sauvignon,Château de Pez,France,Bordeaux,Large Fridge,750ml,46.74,46.61,USD,"March 1, 2026",,,,,,Shelf - 6,1,1,1,2026-03-01 22:16,2026,2038,360160,3428913793,14.0%
Château de Pez Saint-Estèphe,2018,red,Cabernet Sauvignon,Château de Pez,France,Bordeaux,Large Fridge,750ml,46.74,46.61,USD,"March 1, 2026",,,,,,Shelf - 6,1,2,1,2026-03-01 22:16,2026,2038,935369,7951451116,14.0%
Château Durfort-Vivens Margaux Grand Cru Classé,2022,red,"Merlot, Cabernet Sauvignon, Cabernet Franc",Château Durfort-Vivens,France,Bordeaux,Large Fridge,750ml,84.97,83.91,USD,"March 1, 2026",,,,,,Shelf - 6,1,10,1,2026-03-01 22:19,2030,2048,145917,7061548497,13.5%
Chateau Montelena Calistoga Cabernet Sauvignon,2021,red,Cabernet Sauvignon,Chateau Montelena,United States,California,Large Fridge,750ml,64.97,96.78,USD,"March 1, 2026",,,,,,Shelf - 4,1,11,1,2026-03-01 22:06,2026,2041,308928,0818672741,13.4%
Chateau Montelena Calistoga Cabernet Sauvignon,2021,red,Cabernet Sauvignon,Chateau Montelena,United States,California,Large Fridge,750ml,64.97,96.78,USD,"March 1, 2026",,,,,,Shelf - 4,1,10,1,2026-03-01 22:06,2026,2041,390297,5485382314,13.4%
Château Pontet-Canet Pauillac Grand Cru Classé,2021,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Château Pontet-Canet,France,Bordeaux,Large Fridge,750ml,99.97,91.91,USD,"March 1, 2026",,,,,,Shelf - 6,1,6,1,2026-03-01 22:18,2029,2045,791124,8441295816,13.0%
Château Smith Haut-Lafitte Pessac-Léognan Grand Cru Classe,2021,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Château Smith Haut-Lafitte,France,Bordeaux,Large Fridge,750ml,119.97,110.20,USD,"March 1, 2026",,,,,,Shelf - 6,1,4,1,2026-03-01 22:17,2027,2040,866428,3318726438,13.0%
Cult Wine Company Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Cult Wine Co.,United States,California,Large Fridge,750ml,47.98,,USD,"March 1, 2026",,,,,,Shelf - 2,1,1,1,2026-03-01 21:54,2026,2043,790859,5364126737,
Cult Wine Company Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Cult Wine Co.,United States,California,Large Fridge,750ml,47.98,,USD,"March 1, 2026",,,,,,Shelf - 2,1,2,1,2026-03-01 21:54,2026,2043,995918,5072929939,
DAOU Bodyguard ,2023,red,"Malbec, Merlot, Petite Sirah, Petit Verdot, Cabernet Sauvignon, Pinot Noir",Daou,United States,California,Large Fridge,750ml,29.00,,USD,"March 1, 2026",,,,,,Shelf - 1,1,4,1,2026-03-01 21:50,2026,2038,197649,1231785462,14.6%
DAOU Bodyguard ,2023,red,"Malbec, Merlot, Petite Sirah, Petit Verdot, Cabernet Sauvignon, Pinot Noir",Daou,United States,California,Large Fridge,750ml,29.00,,USD,"March 1, 2026",,,,,,Shelf - 1,1,3,1,2026-03-01 21:50,2026,2038,782557,0253262558,14.6%
Far Niente Napa Valley Cabernet Sauvignon,2022,red,Cabernet Sauvignon,Far Niente,United States,California,Large Fridge,750ml,,112.24,USD,,,,,,,Shelf - 4,1,3,1,2026-03-01 23:38,2028,2043,353812,2487797613,14.3%
Far Niente Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Far Niente,United States,California,Large Fridge,750ml,86.97,,USD,"March 1, 2026",,,,,,Shelf - 4,1,1,1,2026-03-01 22:05,2030,2045,257675,0065600734,14.3%
Far Niente Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Far Niente,United States,California,Large Fridge,750ml,86.97,,USD,"March 1, 2026",,,,,,Shelf - 4,1,2,1,2026-03-01 22:05,2030,2045,523717,4555587479,14.3%
Faust The Pact Coombsville Cabernet Sauvignon,2021,red,Cabernet Sauvignon,Faust,United States,California,Large Fridge,750ml,119.99,119.02,USD,"March 1, 2026",,,,,,Shelf - 6,1,8,1,2026-03-01 22:19,2027,2039,219248,7192872475,14.8%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 16,1,1,1,2026-03-01 21:24,2022,2039,403423,8248736883,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 16,1,2,1,2026-03-01 21:24,2022,2039,114696,1619703077,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 16,1,3,1,2026-03-01 21:24,2022,2039,677877,9157780375,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 16,1,4,1,2026-03-01 21:24,2022,2039,888011,4073863301,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 16,1,5,1,2026-03-01 21:24,2022,2039,048577,9198930762,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 16,1,6,1,2026-03-01 21:24,2022,2039,172901,9956580078,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 15,1,1,1,2026-03-01 21:24,2022,2039,752219,9772794169,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 15,1,2,1,2026-03-01 21:24,2022,2039,238278,0647668162,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 15,1,3,1,2026-03-01 21:24,2022,2039,089374,5272401184,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 15,1,4,1,2026-03-01 21:24,2022,2039,346392,2903491900,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 15,1,5,1,2026-03-01 21:24,2022,2039,212858,5591033732,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 15,1,6,1,2026-03-01 21:24,2022,2039,021231,0276259015,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 14,1,1,1,2026-03-01 21:24,2022,2039,561052,8762961583,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 14,1,2,1,2026-03-01 21:24,2022,2039,265305,6813251126,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 14,1,3,1,2026-03-01 21:24,2022,2039,639289,3690104745,14.0%
Gramercy Cellars Columbia Valley Cabernet Sauvignon,2017,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Gramercy Cellars,United States,Walla Walla Valley,Large Fridge,750ml,27.00,46.91,USD,"March 1, 2026",,,,,,Shelf - 14,1,4,1,2026-03-01 21:24,2022,2039,357825,5083953672,14.0%
Heitz Cellar Napa Valley Cabernet Sauvignon,2025,red,"Tempranillo, Merlot, Zinfandel, Cabernet Sauvignon, Syrah/Shiraz",Heitz Cellar,United States,California,Large Fridge,750ml,,81.25,USD,,,,,,,Shelf - 10,1,8,1,2026-03-10 18:53,2030,2045,379487,9132047891,13.8%
Jordan Alexander Valley Cabernet Sauvignon,2021,red,Cabernet Sauvignon,Jordan Wine Estate,United States,California,Large Fridge,750ml,59.99,53.38,USD,"March 1, 2026",,,,,,Shelf - 5,1,1,1,2026-03-01 22:13,2026,2038,313713,5523873718,13.5%
Jordan Alexander Valley Cabernet Sauvignon,2021,red,Cabernet Sauvignon,Jordan Wine Estate,United States,California,Large Fridge,750ml,59.99,53.38,USD,"March 1, 2026",,,,,,Shelf - 5,1,2,1,2026-03-01 22:13,2026,2038,355063,0107262482,13.5%
Justice Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Justice,United States,California,Large Fridge,750ml,,,USD,,,,,,,Shelf - 2,1,5,1,2026-03-01 23:36,2028,2043,835227,7197617424,15.9%
Nickel & Nickel C.C. Ranch Cabernet Sauvignon,2022,red,Cabernet Sauvignon,Nickel & Nickel Winery,United States,California,Large Fridge,750ml,114.99,109.47,USD,"March 1, 2026",,,,,,Shelf - 5,1,11,1,2026-03-01 22:11,2027,2042,002920,8216830157,14.5%
Nickel & Nickel C.C. Ranch Cabernet Sauvignon,2022,red,Cabernet Sauvignon,Nickel & Nickel Winery,United States,California,Large Fridge,750ml,114.99,109.47,USD,"March 1, 2026",,,,,,Shelf - 5,1,10,1,2026-03-01 22:11,2027,2042,178233,0874789843,14.5%
Orin Swift Abstract Red,2023,red,"Petite Sirah, Grenache Noir",Orin Swift Cellars,United States,California,Large Fridge,750ml,59.98,37.72,USD,"March 1, 2026",,,,,,Shelf - 3,1,3,1,2026-03-01 22:03,2026,2033,492545,8966959347,15.2%
Orin Swift Abstract Red,2023,red,"Petite Sirah, Grenache Noir",Orin Swift Cellars,United States,California,Large Fridge,750ml,59.98,37.72,USD,"March 1, 2026",,,,,,Shelf - 3,1,4,1,2026-03-01 22:03,2026,2033,631179,9636087554,15.2%
Pio Cesare Barbaresco,2020,red,Nebbiolo,Pio Cesare,Italy,Piedmont,Large Fridge,750ml,89.99,77.18,USD,"March 1, 2026",,,,,,Shelf - 4,1,4,1,2026-03-01 22:08,2025,2040,305927,2318438055,14.5%
Poggio Al Tesoro Bolgheri Il Seggio,2022,red,"Merlot, Cabernet Sauvignon, Cabernet Franc",Tenuta Poggio al Tesoro,Italy,Tuscany,Large Fridge,750ml,55.98,32.73,USD,"March 1, 2026",,,,,,Shelf - 1,1,1,1,2026-03-01 21:49,2027,2035,051007,7751768747,14.0%
Poggio Al Tesoro Bolgheri Il Seggio,2022,red,"Merlot, Cabernet Sauvignon, Cabernet Franc",Tenuta Poggio al Tesoro,Italy,Tuscany,Large Fridge,750ml,55.98,32.73,USD,"March 1, 2026",,,,,,Shelf - 1,1,2,1,2026-03-01 21:49,2027,2035,482954,9188830191,14.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 12,1,7,1,2026-03-07 17:11,2027,2035,453784,9642002873,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,1,1,2026-03-07 17:11,2027,2035,350251,9057006246,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,2,1,2026-03-07 17:11,2027,2035,912204,0724043354,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,3,1,2026-03-07 17:11,2027,2035,590659,6386960800,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,4,1,2026-03-07 17:11,2027,2035,773611,1926321688,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,5,1,2026-03-07 17:11,2027,2035,203233,5956732216,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,6,1,2026-03-07 17:11,2027,2035,344552,0959934174,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,7,1,2026-03-07 17:11,2027,2035,105567,7532606193,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,8,1,2026-03-07 17:11,2027,2035,792128,7074182987,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,9,1,2026-03-07 17:11,2027,2035,977441,4872183981,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,10,1,2026-03-07 17:11,2027,2035,299010,5061299294,15.0%
Quilt Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Quilt,United States,California,Large Fridge,750ml,,45.66,,,,,,,,Shelf - 13,1,11,1,2026-03-07 17:11,2027,2035,570524,6091501030,15.0%
Quilt Wines Napa Valley,2023,red,Cabernet Sauvignon,Quilt Wines,United States,California,Large Fridge,750ml,40.00,,USD,"April 11, 2026",,,,,,Shelf - 10,1,10,1,2026-03-10 18:51,2026,2036,258774,8085342258,
Reputation Cellars Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Reputation Cellars,United States,California,Large Fridge,750ml,,,,,,,,,,Shelf - 8 (drink first),1,2,1,2026-05-04 02:57,2027,2038,532065,3345158446,
Reputation Cellars Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,Reputation Cellars,United States,California,Large Fridge,750ml,,,,,,,,,,Shelf - 8 (drink first),1,4,1,2026-05-04 02:57,2027,2038,856269,2453297084,
